Statistic,Count
html_tags_removed,51554
number_sequences_removed,1340
quotes_normalized,57660
footnote_markers_removed,167381
fractions_normalized,17804
spaces_normalized,660408
empty_parentheses_removed,3167
extra_spaces_removed,28421
citations_removed,9583
repeated_punctuation_removed,5531
unicode_characters_removed,4797
square_brackets_removed,5394
single_letter_parentheses_removed,1370
apostrophes_normalized,138
figure_references_removed,13
equations_removed,270
special_characters_removed,1184
asterisks_removed,669
bullet_points_removed,320
excessive_whitespace_lines_removed,109
trademark_symbols_removed,178
tables_removed,15
urls_removed,10
email_addresses_removed,9
table_like_structures_removed,16
curly_braces_removed,94
dashes_normalized,82
